"WhatsApp Messenger", "1,000,000,000+", android@support.whatsapp.com, https://play.google.com/store/apps/details?id=com.whatsapp
"SHAREit - Transfer & Share", "1,000,000,000+", feedback_android@ushareit.com, https://play.google.com/store/apps/details?id=com.lenovo.anyshare.gps
"Facebook", "1,000,000,000+", android-support@fb.com, https://play.google.com/store/apps/details?id=com.facebook.katana
"YouTube", "5,000,000,000+", ytandroid-support@google.com, https://play.google.com/store/apps/details?id=com.google.android.youtube
"Messenger – Text and Video Chat for Free", "1,000,000,000+", android-support@fb.com, https://play.google.com/store/apps/details?id=com.facebook.orca
"MX Player", "500,000,000+", support@mxplayer.in, https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.ad
"imo free video calls and chat", "500,000,000+", androidsupport@imo.im, https://play.google.com/store/apps/details?id=com.imo.android.imoim
"Instagram", "1,000,000,000+", android-support@instagram.com, https://play.google.com/store/apps/details?id=com.instagram.android
"imo beta free calls and text", "100,000,000+", androidsupport@imo.im, https://play.google.com/store/apps/details?id=com.imo.android.imoimbeta
"Facebook Lite", "1,000,000,000+", lite-android-support@fb.com, https://play.google.com/store/apps/details?id=com.facebook.lite
"Ragnarok M: Eternal Love", "1,000,000+", warpportalmobile@warpportal.com, https://play.google.com/store/apps/details?id=com.gravity.romg
"Rumble League", "100,000+", support@rumbleleague.gg, https://play.google.com/store/apps/details?id=com.spaceapegames.rumbleleague
"Dancing Road: Color Ball Run!", "10,000,000+", publishing@amanotes.com, https://play.google.com/store/apps/details?id=com.amanotes.pamadancingroad
"Hungry Shark World", "50,000,000+", android.support@ubisoft.com, https://play.google.com/store/apps/details?id=com.ubisoft.hungrysharkworld
"Jewelry King", "100,000+", lunchtime.latte@gmail.com, https://play.google.com/store/apps/details?id=com.spcomes.jewelryking
"Jewels El Dorado", "100,000+", v2rstd.service@gmail.com, https://play.google.com/store/apps/details?id=com.v2r.pjewel1a
"Pokémon GO", "100,000,000+", pokemon-go-support@nianticlabs.com, https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo
"Caesars Slots: Free Slot Machines and Casino Games", "10,000,000+", android@playtika.com, https://play.google.com/store/apps/details?id=com.playtika.caesarscasino
"Love Poly - New puzzle game", "5,000,000+", incolor.feedback@hotmail.com, https://play.google.com/store/apps/details?id=com.love.poly.puzzle.game
"Piano Tiles 2™", "100,000,000+", pianotiles@cmcm.com, https://play.google.com/store/apps/details?id=com.cmplay.tiles2
"SG TOTO 4D SWEEP", "500,000+", sgtoto4d@nctam.com, https://play.google.com/store/apps/details?id=com.nctam.sgptoto4d
"Live 4D Singapore", "1,000,000+", singaporelive4d@gmail.com, https://play.google.com/store/apps/details?id=com.live.live4d
"TikTok", "100,000,000+", feedback@tiktok.com, https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill
"Spotify: Discover music, podcasts, and playlists", "500,000,000+", android-support@spotify.com, https://play.google.com/store/apps/details?id=com.spotify.music
"WeChat", "100,000,000+", support@wechat.com, https://play.google.com/store/apps/details?id=com.tencent.mm
"Mobile Legends: Bang Bang", "100,000,000+", MobileLegendsGame@gmail.com, https://play.google.com/store/apps/details?id=com.mobile.legends
"Messenger Lite: Free Calls & Messages", "500,000,000+", android-support@fb.com, https://play.google.com/store/apps/details?id=com.facebook.mlite
"Candy Crush Saga", "500,000,000+", candycrush.techhelp@king.com, https://play.google.com/store/apps/details?id=com.king.candycrushsaga
"Subway Surfers", "1,000,000,000+", support@kiloo.com, https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
"Clash of Clans", "500,000,000+", gp-info@supercell.com, https://play.google.com/store/apps/details?id=com.supercell.clashofclans
"Roblox", "100,000,000+", info@roblox.com, https://play.google.com/store/apps/details?id=com.roblox.client
